DistCode,Year,StateCode,StateName,DistName,TotalPop1000,TotalMale1000,TotalFemale1000,TotalLITPop,MaleLITPop,FemaleLITPop,PerCapita1000,TotalPop,MALE_LIT,FEMALE_LIT,OVERALL_LIT,Per capita,TotalCrime,Crime_rate,GDPP
55,2011,20,Telangana,Hyderabad,9240.06,4719.59,4520.48,6430.19,3491.47,2938.71,238,9240060,73.97824811,65.00880437,69.59034898,238000,15657,169.4469516,0.025757409
56,2011,20,Telangana,Nizamabad,2551.34,1250.64,1300.69,1389.81,790.21,599.6,78,2551340,63.18444956,46.0986092,54.47372753,78000,6391,250.4958179,0.03057217
57,2011,20,Telangana,Medak,3033.29,1523.03,1510.26,1637.14,953.41,683.73,60,3033290,62.59955483,45.27233721,53.97241939,60000,5669,186.8927798,0.019780502
58,2011,20,Telangana,Mahabubnagar,4053.03,2050.39,2002.64,1940.65,1158.39,782.26,52,4053030,56.49608123,39.0614389,47.88146152,52000,6675,164.6916011,0.012829908
59,2011,20,Telangana,Nalgonda,3488.81,1759.77,1729.04,2001.02,1160.76,840.26,64,3488810,65.96089262,48.59690927,57.35537332,64000,7640,218.9858433,0.018344364
60,2011,20,Telangana,Warangal,3512.58,1759.28,1753.3,2065.02,1179.79,885.23,73,3512580,67.06095676,50.48936292,58.78926601,73000,7913,225.2760079,0.020782445
61,2011,20,Telangana,Khammam,2797.37,1390.99,1406.38,1630.23,901.64,728.59,58,2797370,64.82002027,51.80605526,58.27723898,58000,5961,213.0930124,0.020733761
62,2011,20,Telangana,Karimnagar,3776.27,1880.8,1895.47,2206.83,1257.24,949.59,60,3776270,66.84602297,50.09786491,58.43941244,60000,8973,237.6154247,0.015888694
63,2011,20,Telangana,Adilabad,2741.24,1369.6,1371.64,1483.35,856.35,627,61,2741240,62.52555491,45.71170278,54.1123725,61000,5121,186.813267,0.022252703
64,2011,5,Karnataka,Bangalore,11695.11,6079.84,5615.27,8875.79,4841.81,4033.98,187,11695110,79.63712861,71.83946631,75.89317245,187000,32283,276.0384468,0.015989589
65,2011,5,Karnataka,Kolar,2791.5,1412.84,1378.68,1799.44,1006.27,793.17,26,2791500,71.22320999,57.53111672,64.46140068,26000,2053,73.54468924,0.009313989
66,2011,5,Karnataka,Tumkur,2678.98,1350.59,1328.39,1813.39,1006.02,807.37,43,2678980,74.48744623,60.77808475,67.68956842,43000,5593,208.7734884,0.016050885
67,2011,5,Karnataka,Mysore,4021.92,2023.83,1998.09,2527.46,1376.73,1150.73,69,4021920,68.02597056,57.59149988,62.84212515,69000,7464,185.5830051,0.017155985
68,2011,5,Karnataka,Mandya,1805.77,905.09,900.68,1149.65,638.67,510.98,47,1805770,70.56425328,56.73269086,63.66536159,47000,6120,338.9135936,0.026027678
69,2011,5,Karnataka,Hassan,1776.42,883.67,892.75,1225.26,668.84,556.42,62,1776420,75.68888839,62.32651918,68.97355355,62000,6071,341.7547652,0.034901656
70,2011,5,Karnataka,Shimoge,1752.75,877.42,875.34,1263.02,674.94,588.08,61,1752750,76.92325226,67.18303745,72.05933533,61000,5516,314.7054628,0.034802453
71,2011,5,Karnataka,Chickmagalur,1137.96,566.62,571.34,818.35,438.26,380.09,86,1137960,77.3463697,66.52606154,71.91377553,86000,2726,239.5514781,0.075573834
72,2011,5,Karnataka,Chitradurga,3604.96,1827.24,1777.71,2395.93,1327.83,1068.1,36,3604960,72.66861496,60.08291566,66.46204119,36000,4278,118.6698327,0.009986241
73,2011,5,Karnataka,Bellary,2452.6,1236.95,1215.64,1421.62,813.44,608.18,62,2452600,65.7617527,50.02961403,57.96379353,62000,3205,130.6776482,0.025279295
74,2011,5,Karnataka,Dharwad,4509.26,2293.49,2215.78,3087.28,1712.75,1374.54,66,4509260,74.67876468,62.03413696,68.46533578,66000,3153,69.92278112,0.014636548
75,2011,5,Karnataka,Belgaum,4779.66,2423.06,2356.6,3052.03,1725.55,1326.48,47,4779660,71.21367197,56.28787236,63.85454195,47000,7393,154.676274,0.009833335
76,2011,5,Karnataka,Bijapur / Vijayapura,4067.08,2061.13,2005.95,2361.68,1371.96,989.72,51,4067080,66.56348702,49.33921583,58.06819635,51000,3040,74.74650118,0.012539709
77,2011,5,Karnataka,Bidar,1703.3,870.67,832.64,1042.67,597.2,445.48,43,1703300,68.59085532,53.50211376,61.21470087,43000,3471,203.7808959,0.025245112
78,2011,5,Karnataka,Raichur,3318.73,1664.44,1654.29,1788.86,1046,742.86,47,3318730,62.84395953,44.90506501,53.90194442,47000,3491,105.1908411,0.014162044
79,2011,5,Karnataka,Gulbarga / Kalaburagi,3740.6,1892.09,1848.51,1937.37,1135.11,802.26,40,3740600,59.99238937,43.40036029,51.79302786,40000,4537,121.290702,0.010693472
80,2011,5,Karnataka,Dakshina Kannada,3267.01,1596.84,1670.17,2592.75,1329.72,1263.03,100,3267010,83.27196213,75.62284079,79.3615569,100000,1741,53.29031745,0.030609028
81,2011,5,Karnataka,Uttara Kannada,1437.17,726.26,710.91,1081.91,582.1,499.81,64,1437170,80.15035938,70.30566457,75.28058615,64000,2976,207.0736239,0.044531962
82,2011,5,Karnataka,Kodagu / Coorg,554.52,274.61,279.91,412.88,215.3,197.58,184,554520,78.40209752,70.58697438,74.4571882,184000,1901,342.8190146,0.33181851
83,2011,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,7726.35,3889.02,3837.33,5805.1,3107.17,2697.93,106,7726350,79.89596351,70.30747942,75.13379539,106000,6269,81.13792412,0.013719285
84,2011,11,Tamil Nadu,South Arcot / Cuddalore,6064.78,3052.52,3012.27,4011.06,2234.8,1776.26,57,6064780,73.21164153,58.96748963,66.13694149,57000,9215,151.942857,0.009398527
85,2011,11,Tamil Nadu,North Arcot / Vellore,6401.21,3197.58,3203.63,4400.74,2414.16,1986.58,47,6401210,75.49959657,62.01028209,68.74856472,47000,7672,119.8523404,0.007342362
86,2011,11,Tamil Nadu,Salem,8595.31,4385.38,4209.93,5567.36,3133.08,2434.29,72,8595310,71.44375174,57.82257662,64.77206756,72000,9667,112.4683112,0.008376661
87,2011,11,Tamil Nadu,Coimbatore,6315.93,3155.57,3160.36,4626.75,2483.38,2143.36,121,6315930,78.69830173,67.82012176,73.25524507,121000,8620,136.4802966,0.019157907
88,2011,11,Tamil Nadu,Tiruchirapalli / Trichy,7480.95,3729.32,3751.64,5236.04,2856.6,2379.45,82,7480950,76.59841472,63.42426246,69.99164545,82000,8522,113.9160133,0.010961175
89,2011,11,Tamil Nadu,Thanjavur,6403.83,3168.19,3235.63,4709.82,2506.87,2202.96,58,6403830,79.1262519,68.08442251,73.54692426,58000,6528,101.9389959,0.00905708
90,2011,11,Tamil Nadu,Madurai,6443.93,3233.1,3210.84,4625.34,2519.39,2105.95,82,6443930,77.9249018,65.58875559,71.77824713,82000,9038,140.2560239,0.012725154
91,2011,11,Tamil Nadu,Ramananthapuram,4634.84,2319.04,2315.8,3337.48,1823.17,1514.31,50,4634840,78.61744515,65.39036186,72.00852672,50000,3511,75.75234528,0.010787859
92,2011,11,Tamil Nadu,Thirunelveli,4827.41,2385.93,2441.48,3623.16,1913.82,1709.34,73,4827410,80.21274723,70.01245146,75.0539109,73000,9177,190.1019387,0.015121981
93,2011,11,Tamil Nadu,The Nilgiris,735.39,360.14,375.25,569.65,299.45,270.2,121,735390,83.14822014,72.00532978,77.46229892,121000,1324,180.0405227,0.164538544
94,2011,11,Tamil Nadu,Kanyakumari,1870.37,926.35,944.03,1548.74,780.54,768.2,69,1870370,84.25972904,81.37453259,82.80393719,69000,5199,277.9663917,0.036891096
96,2011,7,Maharashtra,Thane,11060.15,5865.08,5195.07,8227.16,4591.4,3635.77,108,11060150,78.28367217,69.98500501,74.3856096,108000,15658,141.5713168,0.009764786
97,2011,7,Maharashtra,Raigad,2634.2,1344.35,1289.86,1939.99,1059.69,880.3,138,2634200,78.82545468,68.24771681,73.64626832,138000,1997,75.81049275,0.052387822
98,2011,7,Maharashtra,Ratnagiri,2464.72,1178.45,1286.27,1865.46,967.3,898.16,78,2464720,82.08239637,69.82670823,75.68648771,78000,1463,59.35765523,0.031646597
99,2011,7,Maharashtra,Nasik,6107.19,3157.19,2950,4345.37,2397.54,1947.83,52,6107190,75.93904706,66.02813559,71.15170807,52000,9501,155.5707289,0.008514554
100,2011,7,Maharashtra,Dhule,3699.16,1887.2,1811.96,2200.43,1235.49,964.94,52,3699160,65.46682916,53.25393497,59.48458569,52000,2749,74.31416862,0.014057245
101,2011,7,Maharashtra,Jalgaon,4229.92,2197.37,2032.55,2891.88,1629.22,1262.66,65,4229920,74.14409044,62.12196502,68.36725044,65000,5518,130.4516397,0.015366721
102,2011,7,Maharashtra,Ahmednagar,4543.16,2342.83,2200.33,3151.89,1773.36,1378.54,65,4543160,75.69307205,62.65151136,69.37660131,65000,7648,168.3409785,0.014307222
103,2011,7,Maharashtra,Pune,9429.41,4924.11,4505.3,7171.72,3940.21,3231.51,135,9429410,80.0187242,71.72685504,76.05693251,135000,20986,222.5589936,0.014316908
104,2011,7,Maharashtra,Satara,3003.74,1510.84,1492.9,2225.69,1201.03,1024.66,63,3003740,79.49418866,68.63554156,74.09729204,63000,4312,143.5543689,0.020973853
105,2011,7,Maharashtra,Sangli,2822.14,1435.73,1386.42,2049.47,1121.55,927.92,61,2822140,78.11705544,66.92921337,72.62113148,61000,2743,97.19574507,0.021614803
106,2011,7,Maharashtra,Solapur,4317.76,2227.85,2089.9,2910.68,1651.27,1259.41,68,4317760,74.11944251,60.26173501,67.41180612,68000,6681,154.7330097,0.015748907
107,2011,7,Maharashtra,Kolhapur,3876,1980.66,1895.34,2825.85,1559.76,1266.09,92,3876000,78.74950774,66.80015195,72.90634675,92000,4114,106.1403509,0.02373581
108,2011,7,Maharashtra,Aurangabad,5660.33,2935.94,2724.38,3699.36,2130.37,1569,83,5660330,72.56176897,57.59108494,65.35590681,83000,6995,123.5793673,0.014663456
109,2011,7,Maharashtra,Parbhani,3013.44,1549.16,1464.27,1948.55,1116.84,831.71,52,3013440,72.09326345,56.80031688,64.66198099,52000,2967,98.45890411,0.017256026
110,2011,7,Maharashtra,Beed,2585.05,1349.11,1235.94,1718.51,987.19,731.32,65,2585050,73.17342544,59.17115718,66.47879151,65000,4230,163.6331986,0.025144581
111,2011,7,Maharashtra,Nanded,3361.29,1730.08,1631.22,2189.43,1255.22,934.2,40,3361290,72.55271433,57.27001876,65.13659934,40000,5162,153.5719917,0.011900193
112,2011,7,Maharashtra,Osmanabad,4111.78,2134.68,1977.1,2788.48,1576.73,1211.75,71,4111780,73.86259299,61.28926205,67.81685791,71000,3083,74.97969249,0.017267461
113,2011,7,Maharashtra,Buldhana,2586.26,1337.56,1248.7,1879.87,1048.89,830.98,40,2586260,78.41816442,66.54760951,72.68681416,40000,3902,150.8742354,0.015466349
114,2011,7,Maharashtra,Akola,3011.07,1552.63,1458.43,2281.2,1246.68,1034.51,40,3011070,80.29472572,70.93312672,75.76044396,40000,4025,133.6734118,0.013284314
115,2011,7,Maharashtra,Amarawati,2888.45,1480.77,1407.68,2251.88,1207.1,1044.77,38,2888450,81.51839921,74.21928279,77.96153646,38000,7195,249.0955357,0.013155845
116,2011,7,Maharashtra,Yeotmal,2772.35,1419.97,1352.38,2022.57,1115.98,906.59,41,2772350,78.59180124,67.03663172,72.95507422,41000,5008,180.6409725,0.014788898
117,2011,7,Maharashtra,Wardha,1300.77,668.39,632.39,1019.46,552.62,466.84,50,1300770,82.67927408,73.82153418,78.37357873,50000,3492,268.4563758,0.038438771
118,2011,7,Maharashtra,Nagpur,4653.57,2384.98,2268.6,3673.81,1959.22,1714.59,93,4653570,82.14827797,75.57921185,78.94605647,93000,8063,173.2648268,0.019984657
119,2011,7,Maharashtra,Bhandara,2522.84,1267.07,1255.76,1904.1,1031.55,872.56,44,2522840,81.41223453,69.48461489,75.47446529,44000,2077,82.32785274,0.017440662
120,2011,7,Maharashtra,Chandrapur,3277.25,1665.16,1612.08,2286.99,1267.68,1019.31,55,3277250,76.12962118,63.22949233,69.78381265,55000,3828,116.8052483,0.016782363
121,2011,3,Gujarat,Ahmedabad,8035.36,4215.13,3820.23,6043.75,3369.25,2674.51,168,8035360,79.93229153,70.00913558,75.21442723,168000,20203,251.4261962,0.020907588
122,2011,3,Gujarat,Amreli,1514.19,771.05,743.14,995.46,558.18,437.28,67,1514190,72.39219246,58.84221008,65.74207992,67000,2126,140.4051011,0.04424808
123,2011,3,Gujarat,Banaskantha,3120.51,1610.38,1510.13,1704.92,1048.4,656.52,66,3120510,65.10264658,43.47440287,54.63594092,66000,5273,168.9787887,0.021150389
124,2011,3,Gujarat,Bharuch,2141.32,1106.8,1034.52,1488.62,834.82,653.8,140,2141320,75.42645464,63.19839152,69.51880149,140000,2931,136.8781873,0.065380233
125,2011,3,Gujarat,Vadodara / Baroda,4165.63,2153.74,2011.89,2893.08,1614.09,1278.99,128,4165630,74.94358651,63.57156703,69.45119946,128000,8860,212.692918,0.030727645
